symbol,date,open,high,low,close,candle_name,strength_percentage
NIMB,2024-12-29,230.2,230.2,221.0,221.0,CLOSINGMARUBOZU,75.0
NLBBL,2024-03-12,565.0,595.0,555.0,595.0,CLOSINGMARUBOZU,75.0
NLBBLP,2024-02-08,401.0,401.0,401.0,401.0,DOJI,58.0
NLG,2024-12-29,940.0,975.0,926.0,965.0,,
NLIC,2024-12-29,770.0,775.0,760.0,766.0,SPINNINGTOP,57.0
NLICL,2024-12-29,567.0,567.0,561.8,562.0,SHORTLINE,56.0
NLICLP,2024-11-28,293.5,293.5,293.5,293.5,DOJI,58.0
NLICP,2024-10-07,450.0,450.0,450.0,450.0,DOJI,58.0
NLO,2024-12-22,246.9,246.9,246.9,246.9,TRISTAR,62.0
NMB,2024-12-29,253.0,253.0,245.0,246.0,ENGULFING,78.0
NMB50,2024-12-29,10.15,10.21,10.15,10.21,DOJI,58.0
NMBD2085,2024-11-28,1090.8,1090.8,1090.8,1090.8,DOJI,58.0
NMBD89/90,2024-12-23,1090.2,1090.2,1090.2,1068.4,CLOSINGMARUBOZU,75.0
NMBMF,2024-12-29,686.6,734.4,680.0,708.5,,
NMBPO,2024-12-18,140.0,140.0,140.0,140.0,DOJI,58.0
NMBSBF,2024-12-29,10.47,10.47,10.47,10.47,DOJI,58.0
NMFBS,2024-12-29,1270.0,1295.0,1250.1,1265.0,SPINNINGTOP,57.0
NMFBSP,2024-11-26,755.0,755.0,755.0,755.0,DOJI,58.0
NMLBBL,2024-12-29,675.0,689.0,675.0,676.0,INVERTEDHAMMER,68.0
NONLIFEINSU,2024-12-29,12414.74,12509.91,12357.47,12444.23,,
NRIC,2024-12-29,730.0,740.0,725.0,729.0,RICKSHAWMAN,62.0
NRM,2024-12-29,445.0,447.5,432.1,438.9,HAMMER,68.0
NRN,2024-12-29,930.0,1030.0,930.0,999.0,BELTHOLD,66.0
NSIF2,2024-12-29,10.4,10.6,10.13,10.13,DOJI,58.0
NTC,2024-12-29,951.0,962.0,951.0,960.3,SHORTLINE,56.0
NUBL,2024-12-29,680.0,700.0,669.0,691.0,SHORTLINE,56.0
NWCL,2024-12-29,957.0,980.0,955.0,957.0,SHOOTINGSTAR,65.0
NYADI,2024-12-29,438.0,473.0,428.0,428.0,INVERTEDHAMMER,68.0
OHL,2024-12-29,892.0,892.0,863.0,888.0,HANGINGMAN,70.0
OTHERS,2024-12-29,1940.61,1953.19,1935.19,1946.37,SHORTLINE,56.0
PBD85,2024-12-29,1061.0,1061.0,1061.0,1061.0,DOJI,58.0
PBD88,2024-12-29,1150.0,1153.0,1133.0,1133.0,CLOSINGMARUBOZU,75.0
PBLD84,2024-12-29,1095.0,1095.0,1079.4,1090.0,HAMMER,68.0
PBLD86,2024-12-23,1136.0,1136.0,1115.0,1115.0,CLOSINGMARUBOZU,75.0
PCBL,2024-12-29,266.3,268.0,257.1,258.2,SHORTLINE,56.0
PCBLP,2024-12-26,103.6,105.2,103.6,105.2,DOJI,58.0
PFL,2024-12-29,609.0,610.0,572.0,577.0,LONGLINE,70.0
PHCL,2024-12-29,518.3,530.0,515.0,515.0,INVERTEDHAMMER,68.0
PMHPL,2024-12-29,273.0,278.0,268.1,271.9,LONGLEGGEDDOJI,62.0
PMLI,2024-12-29,525.0,530.0,520.0,522.0,,
PPCL,2024-12-29,285.0,290.0,279.0,280.0,,
PPL,2024-12-29,545.0,550.0,525.5,530.0,,
PRIN,2024-12-29,958.9,959.7,940.0,947.0,BELTHOLD,66.0
PROFL,2024-12-29,622.1,629.0,608.1,609.0,CLOSINGMARUBOZU,75.0
PROFLP,2024-12-18,122.0,122.0,122.0,122.0,DOJISTAR,80.0
PRSF,2024-12-29,9.73,10.19,9.73,10.19,DOJI,58.0
PRVU,2024-12-29,248.8,250.0,239.1,241.1,SHORTLINE,56.0
PRVUPO,2024-12-03,121.6,121.6,120.0,120.0,SHORTLINE,56.0
PSF,2024-12-29,9.81,10.03,9.81,10.03,DOJI,58.0
RADHI,2024-12-29,350.0,360.0,345.0,348.0,SPINNINGTOP,57.0
RAWA,2024-12-29,790.0,805.7,766.5,783.9,,
RBBD83,2024-12-29,1049.0,1050.0,1042.1,1042.1,CLOSINGMARUBOZU,75.0
RBCL,2024-12-29,15880.1,15985.0,15611.0,15681.0,,
RBCLPO,2024-12-29,12151.0,12292.0,12051.0,12063.0,,
RFPL,2024-12-29,980.0,1020.0,945.0,1020.0,CLOSINGMARUBOZU,75.0
RHGCL,2024-12-29,557.0,557.0,520.0,521.1,CLOSINGMARUBOZU,75.0
RHPL,2024-12-29,424.0,428.1,419.7,420.0,DOJISTAR,80.0
RIDI,2024-12-29,220.0,224.5,219.0,219.8,HAMMER,68.0
RLFL,2024-12-29,577.0,580.0,558.0,561.8,SHORTLINE,56.0
RLFLPO,2024-04-15,204.0,204.0,204.0,204.0,DOJI,58.0
RMF1,2024-12-29,9.1,9.26,9.1,9.26,DOJI,58.0
RMF2,2024-12-29,9.09,9.43,9.09,9.43,GAPSIDESIDEWHITE,70.0
RNLI,2024-12-29,494.0,500.0,493.8,495.8,SHOOTINGSTAR,65.0
RSDC,2024-12-29,674.0,685.0,662.5,675.0,LONGLEGGEDDOJI,62.0
RURU,2024-12-29,670.0,694.0,660.0,671.0,TRISTAR,62.0
SABSL,2024-07-11,1093.0,1093.0,1034.0,1045.0,BELTHOLD,66.0
SADBL,2024-12-29,403.9,407.0,400.1,402.0,SHORTLINE,56.0
SADBLP,2024-10-27,164.0,164.0,164.0,164.0,DOJI,58.0
SAEF,2024-12-22,11.07,11.31,11.07,11.25,DOJI,58.0
SAGF,2024-12-29,9.6,10.0,9.6,9.9,DOJI,58.0
SAHAS,2024-12-29,479.0,480.0,471.0,472.0,CLOSINGMARUBOZU,75.0
