symbol,date,open,high,low,close,Candles_Present,Max_Candle_Strength
NYADI,2024-12-29,438.0,473.0,428.0,428.0,INVERTEDHAMMER,1.0
OHL,2024-12-29,892.0,892.0,863.0,888.0,"DOJI,DRAGONFLYDOJI,HANGINGMAN,LONGLEGGEDDOJI,TAKURI",0.33
OTHERS,2024-12-29,1940.61,1953.19,1935.19,1946.37,SHORTLINE,1.0
PBD85,2024-12-29,1061.0,1061.0,1061.0,1061.0,"DOJI,SHORTLINE",0.5
PBLD84,2024-12-29,1095.0,1095.0,1079.4,1090.0,HAMMER,1.0
PCBLP,2024-12-26,103.6,105.2,103.6,105.2,"DOJI,SHORTLINE",0.5
PHCL,2024-12-29,518.3,530.0,515.0,515.0,INVERTEDHAMMER,1.0
PMHPL,2024-12-29,273.0,278.0,268.1,271.9,"DOJI,HIGHWAVE,LONGLEGGEDDOJI,RICKSHAWMAN,SPINNINGTOP",1.0
PROFLP,2024-12-18,122.0,122.0,122.0,122.0,"DOJI,DOJISTAR,SHORTLINE",0.33
PRSF,2024-12-29,9.73,10.19,9.73,10.19,"DOJI,SHORTLINE",0.5
PSF,2024-12-29,9.81,10.03,9.81,10.03,"DOJI,SHORTLINE",0.5
RFPL,2024-12-29,980.0,1020.0,945.0,1020.0,CLOSINGMARUBOZU,1.0
RHPL,2024-12-29,424.0,428.1,419.7,420.0,"DOJI,DOJISTAR,INVERTEDHAMMER,LONGLEGGEDDOJI,SHORTLINE",0.33
RIDI,2024-12-29,220.0,224.5,219.0,219.8,"DOJI,HAMMER,HIGHWAVE,INVERTEDHAMMER,LONGLEGGEDDOJI,RICKSHAWMAN,SHORTLINE,SPINNINGTOP,TAKURI",0.33
RLFLPO,2024-04-15,204.0,204.0,204.0,204.0,"DOJI,SHORTLINE",0.5
RMF1,2024-12-29,9.1,9.26,9.1,9.26,"DOJI,SHORTLINE",0.5
RMF2,2024-12-29,9.09,9.43,9.09,9.43,"DOJI,GAPSIDESIDEWHITE,SHORTLINE",1.0
RNLI,2024-12-29,494.0,500.0,493.8,495.8,"DOJI,LONGLEGGEDDOJI,SHOOTINGSTAR,SHORTLINE",0.5
RSDC,2024-12-29,674.0,685.0,662.5,675.0,"DOJI,HIGHWAVE,LONGLEGGEDDOJI,RICKSHAWMAN,SPINNINGTOP",0.2
RURU,2024-12-29,670.0,694.0,660.0,671.0,"DOJI,HIGHWAVE,LONGLEGGEDDOJI,SPINNINGTOP,TRISTAR",0.33
SADBLP,2024-10-27,164.0,164.0,164.0,164.0,"DOJI,SHORTLINE",0.5
SAEF,2024-12-22,11.07,11.31,11.07,11.25,"DOJI,SHORTLINE",0.5
SAGF,2024-12-29,9.6,10.0,9.6,9.9,"DOJI,SHORTLINE",0.5
SALICO,2024-12-29,691.0,704.0,691.0,698.0,BELTHOLD,1.0
SAND2085,2024-12-09,1119.0,1150.0,1119.0,1150.0,"BELTHOLD,CLOSINGMARUBOZU,LONGLINE,MARUBOZU",0.25
SBCF,2024-12-29,9.05,9.13,9.05,9.13,"DOJI,SHORTLINE",0.5
SBIBD86,2024-12-26,1102.0,1114.4,1102.0,1114.4,SHORTLINE,1.0
SBID83,2024-12-29,1130.0,1130.0,1130.0,1130.0,"DOJI,SHORTLINE",0.5
SBLD2082,2024-12-29,1160.0,1160.0,1160.0,1160.0,"DOJI,SHORTLINE",0.5
SBLD83,2024-12-29,1144.0,1144.4,1144.0,1144.4,"DOJI,SHORTLINE",0.5
SBLD84,2024-12-29,1041.0,1059.0,1040.2,1059.0,"BELTHOLD,CLOSINGMARUBOZU,LONGLINE,MARUBOZU",0.25
SBLPO,2024-07-21,137.7,137.7,137.7,137.7,"DOJI,SHORTLINE",0.5
SCBD,2024-12-29,1110.0,1110.0,1110.0,1110.0,"DOJI,SHORTLINE",0.5
SDBD87,2024-12-26,1088.0,1088.0,1088.0,1088.0,"DOJI,SHORTLINE",0.5
SEF,2024-12-29,9.56,9.75,9.56,9.58,"DOJI,DOJISTAR,INVERTEDHAMMER,LONGLEGGEDDOJI,SHORTLINE",0.2
SFEF,2024-12-29,9.1,9.17,9.1,9.17,"DOJI,DOJISTAR,SHORTLINE",0.33
SFMF,2024-12-29,10.09,10.09,10.09,10.09,"DOJI,GAPSIDESIDEWHITE,SHORTLINE",1.0
SHINEP,2024-11-06,262.0,262.0,262.0,262.0,"DOJI,DOJISTAR,SHORTLINE",0.33
SHL,2024-12-29,465.1,471.2,462.0,464.0,"DOJI,DOJISTAR,LONGLEGGEDDOJI,RICKSHAWMAN,SPINNINGTOP",0.33
SHLB,2024-12-29,2660.0,2893.0,2660.0,2785.0,"ABANDONEDBABY,BELTHOLD,MORNINGDOJISTAR,MORNINGSTAR",0.25
SICL,2024-12-29,786.0,801.0,786.0,799.0,SHORTLINE,1.0
SIFC,2024-12-29,570.0,582.0,561.0,571.9,"DOJI,HIGHWAVE,LONGLEGGEDDOJI,RICKSHAWMAN,SPINNINGTOP",0.2
SIFCPO,2024-05-09,228.0,228.0,228.0,228.0,"DOJI,SHORTLINE",0.5
SIGS2,2024-12-29,9.37,9.55,9.37,9.42,"DOJI,INVERTEDHAMMER,LONGLEGGEDDOJI,SHORTLINE",0.25
SIGS3,2024-12-29,9.55,9.82,9.55,9.82,"DOJI,GAPSIDESIDEWHITE,SHORTLINE,TRISTAR",0.5
