symbol,date,open,high,low,close,Candles_Present,Signal,Bullish_Count,Bearish_Count,Signal_Strength
LLBS,2024-12-29,1090.1,1171.0,1090.0,1124.0,['CDLBELTHOLD'],Bullish,1,0,1
LSL,2024-12-29,239.2,244.8,238.0,239.0,"['CDLDOJI', 'CDLGRAVESTONEDOJI', 'CDLHIGHWAVE', 'CDLINVERTEDHAMMER', 'CDLLONGLEGGEDDOJI', 'CDLRICKSHAWMAN', 'CDLSHORTLINE', 'CDLSPINNINGTOP']",Bullish,1,1,0
LUK,2024-12-29,9.31,9.49,9.31,9.41,"['CDLDOJI', 'CDLSHORTLINE']",Bearish,0,1,-1
LVF2,2024-12-29,9.0,9.06,9.0,9.06,"['CDLDOJI', 'CDLGAPSIDESIDEWHITE', 'CDLSHORTLINE']",Bearish,0,1,-1
MANDU,2024-12-29,892.0,910.0,882.0,882.1,['CDLSHOOTINGSTAR'],Bearish,0,1,-1
MBJC,2024-12-29,334.0,335.0,328.2,330.0,"['CDLDOJI', 'CDLSHORTLINE']",Bearish,0,1,-1
MBL,2024-12-29,238.3,245.0,236.0,238.1,"['CDLDOJI', 'CDLGRAVESTONEDOJI', 'CDLHIGHWAVE', 'CDLINVERTEDHAMMER', 'CDLLONGLEGGEDDOJI', 'CDLRICKSHAWMAN', 'CDLSHORTLINE', 'CDLSPINNINGTOP']",Bullish,1,1,0
MBLD2085,2024-11-14,1111.8,1170.0,1111.8,1170.0,"['CDLBELTHOLD', 'CDLCLOSINGMARUBOZU', 'CDLLONGLINE', 'CDLMARUBOZU']",Bullish,4,0,4
MBLPO,2024-05-21,113.0,113.0,113.0,113.0,"['CDLDOJI', 'CDLSHORTLINE']",Bearish,0,1,-1
MDBPO,2024-11-27,379.0,379.0,379.0,379.0,"['CDLDOJI', 'CDLSHORTLINE']",Bearish,0,1,-1
MEHL,2024-12-29,463.6,475.0,458.2,460.0,['CDLSHOOTINGSTAR'],Bearish,0,1,-1
MEL,2024-12-29,310.7,316.0,307.2,315.8,['CDLSHORTLINE'],Bearish,0,1,-1
MEN,2024-12-29,625.0,625.0,605.0,608.0,"['CDLBELTHOLD', 'CDLLONGLINE']",Bullish,2,0,2
MERO,2024-12-29,718.0,764.6,718.0,733.0,['CDLBELTHOLD'],Bullish,1,0,1
MFIL,2024-12-29,670.0,670.0,650.0,650.0,"['CDLBELTHOLD', 'CDLCLOSINGMARUBOZU', 'CDLLONGLINE', 'CDLMARUBOZU']",Bullish,4,0,4
MFILPO,2024-06-23,267.6,267.6,267.6,267.6,"['CDLDOJI', 'CDLDOJISTAR', 'CDLSHORTLINE']",Bearish,0,1,-1
MFLD85,2024-12-29,1100.0,1102.0,1085.0,1085.0,"['CDLCLOSINGMARUBOZU', 'CDLLONGLINE']",Bullish,2,0,2
MHNL,2024-12-29,260.0,267.0,258.8,260.0,"['CDLDOJI', 'CDLDOJISTAR', 'CDLGRAVESTONEDOJI', 'CDLHIGHWAVE', 'CDLINVERTEDHAMMER', 'CDLLONGLEGGEDDOJI', 'CDLRICKSHAWMAN', 'CDLSPINNINGTOP']",Bullish,1,0,1
MICROFINANCE,2024-12-29,4921.9,5033.01,4909.42,4977.97,"['CDLABANDONEDBABY', 'CDLMORNINGDOJISTAR', 'CDLMORNINGSTAR']",Bullish,2,0,2
MKCL,2024-12-29,1480.0,1506.0,1480.0,1485.0,['CDLINVERTEDHAMMER'],Bullish,1,0,1
MKHL,2024-12-29,630.0,632.1,618.0,625.0,"['CDLHANGINGMAN', 'CDLSHORTLINE']",Bearish,0,1,-1
MKJC,2024-12-29,508.0,529.3,507.1,529.3,"['CDLBELTHOLD', 'CDLCLOSINGMARUBOZU', 'CDLLONGLINE', 'CDLMARUBOZU']",Bullish,4,0,4
MKLB,2024-07-07,1205.0,1205.0,1142.0,1169.0,['CDLBELTHOLD'],Bullish,1,0,1
MLBBL,2024-12-29,1535.0,1610.0,1535.0,1584.9,['CDLBELTHOLD'],Bullish,1,0,1
MLBL,2024-12-29,396.0,399.0,387.0,389.0,['CDLSHORTLINE'],Bearish,0,1,-1
MLBLPO,2024-09-16,155.0,155.0,155.0,155.0,"['CDLDOJI', 'CDLSHORTLINE']",Bearish,0,1,-1
MLBS,2024-12-29,2035.0,2172.0,2035.0,2160.0,['CDLBELTHOLD'],Bullish,1,0,1
