id,date,symbol,open,high,low,close,volume,ltp,previous_closing,RSI_6,RSI_14,SMA_20,EMA_20
1875843,2024-05-30,NABIL,485.0,492.0,469.8,478.3,104947.0,478.3,489.0,52.32682441801284,59.939375144482476,450.67999999999995,462.1130445120325
1875844,2024-06-02,NABIL,476.0,490.5,476.0,490.0,77895.0,490.0,478.3,60.10408409458893,63.86261481819622,453.6049999999999,464.76894503469606
1875845,2024-06-03,NABIL,496.9,497.0,484.0,484.9,46126.0,484.9,490.0,55.3784621987578,61.05574263205272,456.3749999999999,466.686188364725
1875846,2024-06-04,NABIL,493.0,493.0,480.3,483.0,37907.0,483.0,484.9,53.49803096844358,59.9977586909395,459.2249999999999,468.2398847109417
1875847,2024-06-05,NABIL,483.0,487.6,479.0,480.0,43444.0,480.0,483.0,50.264151568955015,58.28052903417138,462.0249999999999,469.359895690852
1875848,2024-06-06,NABIL,480.1,485.0,477.0,477.0,40452.0,477.0,480.0,46.86466897523645,56.53785031303627,464.7749999999999,470.0875246726756
1875849,2024-06-09,NABIL,486.5,486.5,474.0,474.0,42853.0,474.0,477.0,43.346701899250874,54.774034399774884,467.2499999999999,470.46014137051606
1875850,2024-06-10,NABIL,483.4,483.4,462.6,468.0,57462.0,468.0,474.0,36.729524669741984,51.325297087413965,469.5149999999999,470.22584219237166
1875851,2024-06-11,NABIL,477.3,478.1,466.1,478.0,50026.0,478.0,468.0,51.52853959108158,56.26752608280763,472.3149999999999,470.96623817405055
1875852,2024-06-12,NABIL,480.0,490.0,480.0,483.0,45437.0,483.0,478.0,57.49387028824342,58.53457238863964,474.9249999999999,472.11231072890286
1875853,2024-06-13,NABIL,490.0,490.0,479.0,479.1,63580.0,479.1,483.0,51.555107666246315,56.092058674416414,477.2049999999999,472.77780494519783
1875854,2024-06-16,NABIL,488.6,488.6,473.2,475.0,48170.0,475.0,479.1,45.611510436391825,53.56169576924136,479.25499999999994,472.9894425694647
1875855,2024-06-18,NABIL,483.0,483.0,468.7,469.0,43382.0,469.0,475.0,37.932021762384224,50.00652714599334,481.1549999999999,472.6094956580871
1875856,2024-06-19,NABIL,469.0,475.0,469.0,472.0,29603.0,472.0,469.0,43.626859211066176,51.731661498787794,482.9049999999999,472.551448452555
1875857,2024-06-20,NABIL,481.4,481.4,469.6,470.1,51724.0,470.1,472.0,40.78300977941251,50.54211865289406,483.50999999999993,472.3179771713593
1875858,2024-06-23,NABIL,469.0,469.0,465.0,466.0,53680.0,466.0,470.1,34.89315726243586,47.978321551590845,482.765,471.7162650598013
1875859,2024-06-24,NABIL,464.0,467.0,461.1,461.1,45036.0,461.1,466.0,28.906160472240884,45.0379276406957,480.12,470.7051921969631
1875860,2024-06-25,NABIL,462.0,465.0,455.3,458.2,56926.0,458.2,461.1,25.7663410450481,43.34482112798816,477.18,469.51422151153804
1875861,2024-06-26,NABIL,458.8,460.0,455.1,456.0,57007.0,456.0,458.2,23.447763541475737,42.0532601431299,474.58500000000004,468.22715279615346
1875862,2024-06-27,NABIL,456.0,457.0,454.6,456.0,29699.0,456.0,456.0,23.44776354147574,42.0532601431299,472.93500000000006,467.0626620536627
1875863,2024-06-30,NABIL,456.9,461.0,450.8,452.0,55043.0,452.0,456.0,18.976878971782572,39.567156551572864,471.62000000000006,465.6281228104567
1875864,2024-07-01,NABIL,457.0,458.8,450.0,458.8,31786.0,458.8,452.0,41.66698866983058,45.46910953597947,470.06000000000006,464.97782539993705
1875865,2024-07-02,NABIL,467.9,499.3,466.0,477.1,93437.0,477.1,458.8,69.3690309176358,57.498720482385956,469.6700000000001,466.1323182189907
1875866,2024-07-03,NABIL,477.0,484.0,469.0,484.0,48855.0,484.0,477.1,74.78663689869998,60.99282709514111,469.7200000000001,467.83400219813444
1875867,2024-07-04,NABIL,485.0,490.0,480.0,487.0,58487.0,487.0,484.0,76.91672476691687,62.43870477723811,470.07000000000005,469.65933532212165
1875868,2024-07-07,NABIL,487.0,490.0,482.0,487.0,59675.0,487.0,487.0,76.91672476691687,62.438704777238094,470.57000000000005,471.3108271962053
1875869,2024-07-08,NABIL,487.0,490.0,482.0,490.0,79001.0,490.0,487.0,79.4203391925052,63.986870023369235,471.37000000000006,473.0907484156143
1875870,2024-07-09,NABIL,490.0,491.9,482.1,490.2,48124.0,490.2,490.0,79.59736891120181,64.09312463615082,472.48000000000013,474.72020094746057
1875871,2024-07-10,NABIL,500.0,500.0,490.0,497.1,82435.0,497.1,490.2,84.95525193361264,67.64039223316911,473.4350000000001,476.85161038103575
1875872,2024-07-11,NABIL,507.0,507.0,498.6,507.0,115571.0,507.0,497.1,89.63961311918088,71.92582021978194,474.6350000000001,479.72288558284185
1875873,2024-07-14,NABIL,517.1,547.0,517.0,529.0,138178.0,529.0,507.0,94.33950931785519,78.68209902328026,477.1300000000001,484.41594409876166
1875874,2024-07-15,NABIL,539.5,545.0,521.0,524.0,157693.0,524.0,529.0,83.95284107091432,74.30534111416782,479.5800000000001,488.1858541845939
1875875,2024-07-16,NABIL,534.4,534.4,514.5,532.9,116735.0,532.9,524.0,87.00814865626879,76.78117504795883,482.7750000000001,492.4443442622516
1875876,2024-07-17,NABIL,539.0,543.0,531.0,538.0,138575.0,538.0,532.9,88.51217673892738,78.08433623380786,486.0750000000001,496.78297814203717
1875877,2024-07-18,NABIL,538.0,589.0,538.0,567.0,242256.0,567.0,538.0,93.5820056325427,83.68997425873526,490.9200000000001,503.4703135570812
1875878,2024-07-21,NABIL,578.0,584.0,568.0,577.0,248449.0,577.0,567.0,94.57305294780588,85.10480146770149,496.4700000000001,510.4731408373592
1875879,2024-07-22,NABIL,580.0,587.0,563.0,574.0,183975.0,574.0,577.0,89.5925906882944,82.78471145645598,502.11500000000007,516.5233179004679
1875880,2024-07-23,NABIL,574.0,580.0,563.0,579.0,185075.0,579.0,574.0,90.58430095422561,83.58777809516751,508.15500000000003,522.4734781004233
1875881,2024-07-24,NABIL,576.0,590.0,570.0,579.0,162758.0,579.0,579.0,90.58430095422561,83.58777809516751,514.3050000000001,527.8569563765735
1875882,2024-07-25,NABIL,579.0,579.0,570.0,575.9,129069.0,575.9,579.0,83.48214876665861,80.8750099217539,520.3,532.4324843407094
1875883,2024-07-28,NABIL,587.4,633.4,587.4,633.4,348250.0,633.4,575.9,93.98282331176878,88.39698182890756,529.37,542.0484382130228
1875884,2024-07-29,NABIL,646.0,690.0,643.0,649.0,451587.0,649.0,633.4,95.01463138758821,89.59290046566066,538.88,552.234301240354
1875885,2024-07-30,NABIL,658.9,658.9,620.0,644.0,331425.0,644.0,649.0,89.13587653790687,86.51501648237449,547.225,560.9738915984154
1875886,2024-07-31,NABIL,656.8,656.8,640.0,649.3,288592.0,649.3,644.0,89.92851557777908,87.02389435882417,555.49,569.3859019223759
1875887,2024-08-01,NABIL,649.3,660.0,638.0,645.0,197788.0,645.0,649.3,83.96435209116908,84.24616109353093,563.39,576.5872445964353
1875888,2024-08-05,NABIL,657.9,700.0,657.0,660.0,314107.0,660.0,645.0,87.44884670996595,85.93295626829918,572.04,584.5313165396319
1875889,2024-08-06,NABIL,668.0,668.0,624.0,625.0,421596.0,625.0,660.0,54.36903910157329,67.71425141821287,578.79,588.3854768691908
1875890,2024-08-07,NABIL,613.0,640.0,608.0,631.5,251049.0,631.5,625.0,57.91672360953242,69.02754950222409,585.8549999999999,592.4916219292679
1875891,2024-08-08,NABIL,644.1,644.1,628.0,630.0,154915.0,630.0,631.5,56.696056127342466,68.33672269319935,592.4999999999999,596.0638484121948
1875892,2024-08-11,NABIL,640.0,643.0,635.0,639.1,196534.0,639.1,630.0,62.45654113539305,70.27998139224249,599.1049999999999,600.1625295157953
1875893,2024-08-12,NABIL,645.0,657.9,640.0,646.9,228497.0,646.9,639.1,66.97516976564471,71.87340000766062,604.9999999999999,604.6137171809577
1875894,2024-08-13,NABIL,648.0,658.9,643.0,647.9,208455.0,647.9,646.9,67.57555711718604,72.08007368080462,611.1949999999999,608.7362203065808
1875895,2024-08-14,NABIL,650.0,650.0,640.0,645.0,160074.0,645.0,647.9,63.55470681813982,70.46306579585395,616.8,612.189913610716
1875896,2024-08-15,NABIL,657.9,673.0,647.0,660.0,460088.0,660.0,645.0,73.38438471400013,73.74403964054386,622.8999999999999,616.7432551716001
1875897,2024-08-18,NABIL,670.0,682.0,656.0,662.0,385734.0,662.0,660.0,74.48543217016571,74.15624757271728,627.6499999999999,621.0534213457335
1875898,2024-08-21,NABIL,675.0,675.0,651.0,658.3,251551.0,658.3,662.0,68.22022218494483,71.90710667426131,631.7149999999999,624.6007145509017
1875899,2024-08-22,NABIL,658.3,668.0,652.0,654.0,210335.0,654.0,658.3,61.057895908153746,69.2773731441208,635.7149999999999,627.4006464984349
1875900,2024-08-25,NABIL,654.0,654.0,636.0,636.9,206816.0,636.9,654.0,40.6777654282768,59.89630484061858,638.6099999999999,628.3053468319173
1875901,2024-08-27,NABIL,625.0,640.0,605.0,605.6,307846.0,605.6,636.9,23.47038380013073,47.27681019992281,639.9399999999998,626.1429328479252
1875902,2024-08-28,NABIL,617.7,630.0,609.7,616.0,256298.0,616.0,605.6,34.515416815991316,50.97297367147253,641.9449999999999,625.1769392433608
1875903,2024-08-29,NABIL,625.0,625.0,600.0,605.0,155077.0,605.0,616.0,29.171737661354463,47.203604411799205,640.5249999999999,623.2553259820884
