symbol,date,open,high,low,close,Candles_Present,Signal
MMFDBP,2024-03-12,278.0,278.0,278.0,278.0,"['CDLDOJI', 'CDLSHORTLINE']",Neutral
MMKJL,2024-12-29,683.0,695.0,672.2,679.0,"['CDLDOJI', 'CDLLONGLEGGEDDOJI', 'CDLRICKSHAWMAN', 'CDLSPINNINGTOP']",Neutral
MNBBL,2024-12-29,371.0,378.4,371.0,375.0,"['CDLDOJI', 'CDLSHORTLINE', 'CDLTRISTAR']",Neutral
MNBBLP,2024-12-29,221.0,221.0,221.0,221.0,"['CDLDOJI', 'CDLSHORTLINE']",Neutral
MPFL,2024-12-29,685.0,695.0,649.8,651.0,[],Neutral
MPFLPO,2024-03-14,202.0,202.0,202.0,202.0,"['CDLDOJI', 'CDLSHORTLINE']",Neutral
MSHL,2024-12-29,970.0,970.0,937.0,947.9,[],Neutral
MSLB,2024-12-29,1490.0,1590.0,1490.0,1564.0,['CDLBELTHOLD'],Neutral
MUTUAL,2024-12-29,20.31,20.36,20.17,20.34,"['CDLDOJI', 'CDLHAMMER', 'CDLLONGLEGGEDDOJI', 'CDLSHORTLINE', 'CDLTAKURI']",Bullish
NABBC,2024-12-29,1133.4,1155.5,1040.9,1040.9,['CDLCLOSINGMARUBOZU'],Neutral
NABIL,2024-12-29,504.1,508.9,499.0,502.7,"['CDLDOJI', 'CDLDOJISTAR', 'CDLHIGHWAVE', 'CDLLONGLEGGEDDOJI', 'CDLRICKSHAWMAN', 'CDLSPINNINGTOP']",Neutral
NABILD87,2024-12-29,1070.0,1070.0,1070.0,1070.0,"['CDLDOJI', 'CDLSHORTLINE']",Neutral
NABILP,2024-10-27,301.1,301.1,301.1,301.1,"['CDLDOJI', 'CDLSHORTLINE', 'CDLTRISTAR']",Neutral
NADDF,2024-12-17,10.41,10.41,10.41,10.41,"['CDLDOJI', 'CDLSHORTLINE']",Neutral
NADEP,2024-12-29,942.0,959.0,926.1,947.0,"['CDLHIGHWAVE', 'CDLSPINNINGTOP']",Neutral
NBBD2085,2024-11-20,1195.0,1195.0,1195.0,1199.9,['CDLSHORTLINE'],Neutral
NBF2,2024-12-29,9.69,9.69,9.5,9.68,"['CDLDOJI', 'CDLHAMMER', 'CDLLONGLEGGEDDOJI', 'CDLSHORTLINE', 'CDLTAKURI']",Bullish
NBF3,2024-12-29,9.5,9.65,9.0,9.4,"['CDLDOJI', 'CDLHAMMER', 'CDLHANGINGMAN', 'CDLINVERTEDHAMMER', 'CDLLONGLEGGEDDOJI', 'CDLMATCHINGLOW', 'CDLRICKSHAWMAN', 'CDLSHORTLINE', 'CDLSPINNINGTOP', 'CDLTAKURI']",Bullish
NBL,2024-12-29,273.0,275.8,269.3,269.9,[],Neutral
NBLD82,2024-11-24,1096.6,1174.0,1096.6,1172.0,"['CDLBELTHOLD', 'CDLLONGLINE']",Neutral
